Nombre del producto,Tipo de producto,Categoría,Florero,Contenedor,Material del contenedor,Colores,Insumos,Variantes_Tamaños,Dimensiones_Tamaños,Variantes_Ruedo,Variantes_Colores,Precio,precio_base,Cuidados
Boîte de Invierno,Arreglo floral horizontal,Flores en Plantas,Sí,Caja o base metálica rectangular,Metal y oasis floral,"Azul, verde, blanco",Flores mixtas de temporada,,70 × 30 cm,,"Azul, verde, blanco",$97.000,$97.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' ni rociar las flores por encima, sino que hacer un espacio para que el agua —con tu regadera o botella— llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '70 × 30 cms' / El envío no está incluido en este precio."
Frutera Pascual,Arreglo floral en florero,Flores recién cortadas en Regalos,Sí,Frutera de vidrio,Vidrio transparente,"Rojos, rosados, verdes",Flores mixtas de temporada,,40 × 50 cm,,"Rojos, rosados, verdes",$85.000,$85.000,"Para que tus flores tengan una vida más larga debes evitar el sol directo o cualquier fuente de calor obvia (como un calefactor por ejemplo). Algunas flores pueden morir antes que otras, sobre todo en este arreglo en donde hay distintos tipos y variedades, por lo que te recomendamos que vayas sacando aquellas que estén moribundas para evitar la acumulación de bacterias y se vean más frescas las que quedan! Preocúpate de mantener siempre con agua el florero (al menos hasta la mitad del vidrio) para no deshidratar las flores. El arreglo de las fotos es de tamaño '40 × 50 cms' / El envío no está incluido en este precio."
Boîte Amour,Arreglo floral horizontal,Flores en Plantas,Sí,Base rectangular baja,Madera o cerámica,"Rosados, rojos, verdes",Flores mixtas de temporada,,70 × 30 cm,,"Rosados, rojos, verdes",$97.000,$97.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' ni rociar las flores por encima, sino que hacer un espacio para que el agua —con tu regadera o botella— llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '70 × 30 cms' / El envío no está incluido en este precio."
Paila Claus,Arreglo floral navideño,Flores en Plantas,Sí,Paila decorativa,Cerámica,"Rojos, verdes",Flores mixtas de temporada,"M, L","M: 40×50, L: 50×65",,"Rojos, verdes","M — $90.000, L — $120.000",,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' ni rociar las flores por encima, sino que hacer un espacio para que el agua —con tu regadera o botella— llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño M '40 × 50 cms' / El envío no está incluido en este precio."
Pino Navideño,Arreglo floral con forma de pino,Coronas en Coronas y guirnaldas,No,Base estructurada en OASIS,Flores naturales y follaje,"Rojos, naranjos, verdes",Flores y follaje,"45 cm, 60 cm",,,"Rojos, naranjos, verdes","Este diseño se ha convertido en un clásico de nuestras Navidades. Su estructura está hecha en oasis para que las flores continúen hidratándose, por lo tanto hay que considerar el peso a la hora de manipularlo... ¡con mucho cuidado! Te aconsejamos que con una botella o regadera le chorrees agua poco a poco desde la punta del pino para que vaya permeando y rehidratando. Repite todos los días.",,
Red Charm,Arreglo floral alto,Flores en Plantas,Sí,Florero cilíndrico de vidrio,Vidrio,"Rojo, verde",Flores mixtas de temporada,,60 × 70 cm,,"Rojo, verde",$150.000,$150.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '60 × 70 cms' / El envío no está incluido en este precio."
Corona Rosas,Corona floral decorativa,Coronas y guirnaldas en Decoración,No,Base circular de espuma floral,Espuma floral,"Rojos, verdes",Rosas,,80–90 cm de ruedo,,"Rojos, verdes",$320.000,$320.000,80–90 cms de ruedo
Brisero Polo Sur,Arreglo floral alto,Flores en Plantas,Sí,Florero verde alto,Vidrio,"Naranjo, coral, rojo, verde",Flores mixtas de temporada,"S, M, L","S: 50×40, M: 70×65, L: 80×70",,"Naranjo, coral, rojo, verde","S — $90.000, M — $120.000, L — $180.000",,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño M '70 × 65 cms' / El envío no está incluido en este precio."
Cerámica Rectangular Alta,Florero decorativo,Floreros en Decoración,Sí,Florero rectangular vertical,Cerámica esmaltada,"Amarillo, blanco",—,,,,"Amarillo, blanco",$35.000,$35.000,Florero decorativo de cerámica esmaltada. No incluye flores.
Florero Mago A,Florero decorativo individual,Floreros en Decoración,Sí,Florero tipo copa,Vidrio opalino,Verde agua,—,,Pequeño (20–25 cm alto),,Verde agua,$14.000,$14.000,"Florero de vidrio perfecto para veladores, baño o cualquier lugar más pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores."
Florero Mago B,Florero decorativo individual,Floreros en Decoración,Sí,Florero tipo cáliz,Vidrio opalino,Verde agua,—,,Pequeño (20–25 cm alto),,Verde agua,$14.000,$14.000,"Florero de vidrio perfecto para veladores, baño o cualquier lugar más pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores."
Florero Mago C,Florero decorativo individual,Floreros en Decoración,Sí,Florero tipo cáliz,Vidrio opalino blanco,Blanco,—,,Pequeño (20–25 cm alto),,Blanco,$14.000,$14.000,"Florero de vidrio perfecto para veladores, baño o cualquier lugar más pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores."
Florero Mago D,Florero decorativo individual,Floreros en Decoración,Sí,Florero tipo copa,Vidrio opalino blanco,Blanco,—,,Pequeño (20–25 cm alto),,Blanco,$14.000,$14.000,"Florero de vidrio perfecto para veladores, baño o cualquier lugar más pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores."
Florero Mago E,Florero decorativo individual,Floreros en Decoración,Sí,Florero tipo cáliz,Vidrio opalino gris perlado,Gris claro,—,,Pequeño (20–25 cm alto),,Gris claro,$14.000,$14.000,"Florero de vidrio perfecto para veladores, baño o cualquier lugar más pequeño. También una gran idea es juntar de a varios y hacer un conjunto como para centros de mesa por ejemplo. Florero no incluye flores."
Campana Donna,Arreglo floral mediano,Flores en Plantas,Sí,Florero cilíndrico de vidrio,Vidrio,"Lila, violeta, verde",Flores mixtas de temporada,,55 × 40 cm,,"Lila, violeta, verde",$84.000,$84.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '55 × 40 cms' / El envío no está incluido en este precio."
Matero Dolce,Arreglo floral redondo,Flores recién cortadas en Regalos,Sí,Matero de vidrio,Vidrio transparente,"Rosado, fucsia, verde, violeta",Flores mixtas de temporada,"S, M, L","S: 35×35, M: 42×42, L: 50×50",,"Rosado, fucsia, verde, violeta","Chico — $66.000, Mediano — $87.000, Grande — $112.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tus flores tengan una vida más larga debes evitar el sol directo o cualquier fuente de calor obvia (como un calefactor por ejemplo). Algunas flores pueden morir antes que otras, sobre todo en este arreglo en donde hay distintos tipos y variedades, por lo que te recomendamos que vayas sacando aquellas que estén moribundas para evitar la acumulación de bacterias y se vean más frescas las que quedan! Preocúpate de mantener siempre con agua el florero para no deshidratar las flores. El arreglo de las fotos es de tamaño '40 × 40 cms' / El envío no está incluido en este precio."
Color Moon XL,Arreglo floral grande,Flores recién cortadas en Regalos,Sí,Florero de vidrio alto,Vidrio,"Multicolor (rosado, violeta, amarillo, naranja)",Flores mixtas de temporada,,70 × 60 cm,,Multicolor,$180.000,$180.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Esta versión de nuestro clásico Moon está hecho con un florero más alto que el que usamos normalmente, agregando más altura e importancia al arreglo. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '70 × 60 cms' / El envío no está incluido en este precio."
Cubo Frutal,Arreglo floral pequeño con frutas,Flora artificial en Decoración,Sí,Cubo de vidrio,Vidrio transparente,"Verde, amarillo","Limones o kumquats, flores mixtas",,30 × 25 cm,,"Verde, amarillo",$46.000,$46.000,"Limones o Kumquat son aleatorios, se pondrán sólo de una variedad por arreglo. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '30 × 25 cms' / El envío no está incluido en este precio."
Alcalá Rectangular,Arreglo floral rectangular,Flores en Plantas,Sí,Base rectangular de vidrio,Vidrio transparente,"Amarillo, azul, verde",Flores mixtas de temporada,,35 × 25 cm,,"Amarillo, azul, verde",$54.000,$54.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '35 × 25 cms' / El envío no está incluido en este precio."
Gâteau Rosado,Arreglo floral redondo,Flores en Plantas,Sí,Base redonda de vidrio,Vidrio transparente,"Rosado, verde, fucsia",Flores mixtas de temporada,,30 × 40 cm,,"Rosado, verde, fucsia",$83.000,$83.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '30 × 40 cms' / El envío no está incluido en este precio."
Gâteau Morado,Arreglo floral redondo,Flores en Plantas,Sí,Base redonda de vidrio,Vidrio transparente,"Morado, verde, violeta",Flores mixtas de temporada,,30 × 40 cm,,"Morado, verde, violeta",$83.000,$83.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retira las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas. El arreglo de las fotos es de tamaño '30 × 40 cms' / El envío no está incluido en este precio."
Pascual,Ramo de flores frescas,Flores recién cortadas en Regalos,No,Sin contenedor (ramo envuelto con rafia),—,Rojo,Flores rojas (probablemente claveles),,,,Rojo,$55.000,$55.000,"Para una mejor durabilidad hay que dejarlas lejos de sol directo o cualquier fuente de calor directa (por ejemplo radiadores), cambia el agua cada dos días y cada vez que lo hagas ve de cortarle un poco los tallos para que las flores puedan succionar mejor el agua. ¡Ojo! La idea es que no le sueltes la rafia con que viene amarrado, de esa manera conservas la forma del ramo y la distribución de flores."
Silvestre,Ramo de flores frescas,Flores recién cortadas en Regalos,No,Sin contenedor (ramo),—,"Mixtos, naturales, tipo jardín",Flores silvestres mixtas (varían según temporada),,,,"Mixtos, naturales, tipo jardín",$67.000,$67.000,"Para una mejor durabilidad hay que dejarlas lejos de sol directo o cualquier fuente de calor directa (por ejemplo radiadores), cambia el agua cada dos días y cada vez que lo hagas ve de cortarle un poco los tallos para que las flores puedan succionar mejor el agua."
La Crème,Ramo de novia / flores frescas,Flores en Plantas,No,Sin contenedor (ramo redondo),—,Blanco,50 rosas blancas,,,,Blanco,$130.000,$130.000,"Para una mejor durabilidad hay que dejarlas lejos de sol directo o cualquier fuente de calor directa (por ejemplo radiadores), cambia el agua cada dos días y cada vez que lo hagas ve de cortarle un poco los tallos para que las flores puedan succionar mejor el agua."
Ada Jacintos,Bulbos en macetero,Bulbos,No,Base de musgo o vidrio,Vidrio o cerámica,Violeta,Jacintos (bulbos),,20 × 20 × 25 cm,,Violeta,$35.000,$35.000,"Mantener en lugares frescos, nunca con luz directa o cerca de una fuente de calor, y el riego depende de la humedad de la tierra."
Caja 4 Jacintos,Bulbos de plantas y flores,Bulbos de plantas y flores en Semillas,No,Caja rectangular,Madera pintada,"Verde, violeta",Jacintos,,30 × 26 × 25 cm,,"Verde, violeta",$43.000,$43.000,"Mantener en lugares frescos, nunca con luz directa o cerca de una fuente de calor, y el riego depende de la humedad de la tierra."
Amaryllis en Brisero — Blanco,Planta bulbosa en florero,Bulbos de plantas y flores en Semillas / Plantas de interior en macetas,Sí,Brisero (macetero alto),Cerámica o metal,Blanco,Amaryllis,,,,Blanco,$38.000,$38.000,Pasada su floración debes trasplantarlas a tierra o a un macetero con drenaje (con un hoyo) y así podrán florecer cada año si quedan en un lugar óptimo para su desarrollo.
Canasto 360° blancos y verdes,Arreglo floral 360°,Flores en Plantas / Ceremoniales,Sí,Canasto redondo,Fibra vegetal / mimbre,Blanco y verde,Flores mixtas,"S, M, L","S: 35x40, M: 45x50, L: 55x60",360°,Blanco y verde,"S — $55.000, M — $73.000, L — $92.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido."
Canasto 360° Colorido,Arreglo floral 360°,Ceremoniales,Sí,Canasto con asa,Fibra vegetal / mimbre,Multicolor,Flores mixtas de temporada,"S, M, L","S: 35x40, M: 45x50, L: 55x60",360°,Multicolor,"S — $64.000, M — $78.000, L — $110.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido."
Sobre Urna en Lilas,Arreglo floral funerario,Ceremoniales,No,Base floral (espuma húmeda),Espuma floral / soporte plástico,"Lilas, blanco, verde",Flores mixtas de temporada,"S, M, L","S: 75×50, M: 100×50, L: 140×50",,"Lilas, blanco, verde","S — $100.000, M — $150.000, L — $280.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido."
Sobre Urna en blancos y verdes,Arreglo floral funerario,Flores en Plantas / Ceremoniales,No,Base floral (espuma húmeda),Espuma floral / plástico,Blanco y verde,Flores mixtas de temporada (blancas y verdes),"S, M, L","S: 70×50, M: 100×50, L: 140×50",,Blanco y verde,"S — $100.000, M — $150.000, L — $280.000",,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido."
Rodón esfera,Arreglo floral redondo,Sin categoría,Sí,Redondo,Metal o base floral,Blanco y verde,"Flores mixtas (rosas, margaritas u otras de temporada)",,60 × 50 cm,,Blanco y verde,$85.000,$85.000,"Las flores dependerán de la estación del año, siempre se respeta el colorido de la composición."
Boina Rosadas,Planta de interior (orquídea),Plantas de interior en macetas,Sí,Maceta decorativa,Cerámica o vidrio,Rosado,Orquídeas,,,,Rosado,$160.000,$160.000,"Las orquídeas deben recibir mucha luz indirecta. Regar cada 10–15 días según humedad del musgo. En invierno, regar entre 11 y 14 hrs; bajo 15°C, no regar. Usar recipiente transparente para permitir fotosíntesis de las raíces. Floración: 1 vez al año, dura 2–4 meses. Cortar tallos secos tras floración. Tip: Si tienes sustrato especial, abonar unas gotitas cada dos semanas."
Cilindro 2L,Planta de interior (orquídea),Ollas en Macetas y tiestos,Sí,Cilíndrico alto,Vidrio o cerámica,Blanco,Orquídeas,,,,Blanco,$85.000,$85.000,"Las orquídeas deben recibir mucha luz indirecta. Regar cada 10–15 días según humedad del musgo. En invierno, regar entre 11 y 14 hrs; bajo 15°C, no regar. Usar recipiente transparente para permitir fotosíntesis de las raíces. Floración: 1 vez al año, dura 2–4 meses. Cortar tallos secos tras floración. Tip: Si tienes sustrato especial, abonar unas gotitas cada dos semanas."
MEI 2L (B),Planta de interior (orquídea),Plantas de interior en macetas,Sí,Macetero pequeño,Vidrio o cerámica,Blanco,Orquídeas,,,,Blanco,$80.000,$80.000,"Las orquídeas deben recibir mucha luz indirecta. Regar cada 10–15 días según humedad del musgo. En invierno, regar entre 11 y 14 hrs; bajo 15°C, no regar. Usar recipiente transparente para permitir fotosíntesis de las raíces. Floración: 1 vez al año, dura 2–4 meses. Cortar tallos secos tras floración. Tip: Si tienes sustrato especial, abonar unas gotitas cada dos semanas."
Arreglo del Día,Arreglo floral con base,Sin categoría (decorativo),Sí,Base de metal,Metal,"Verde, violeta, lila (con Brassicas)",Brassicas y flores de temporada,,55 × 45 cm,,"Verde, violeta, lila",$75.000,$75.000,Sacar por las noches a lugar frío. Mantener el OASIS siempre húmedo. No rociar flores por encima; regar directamente al oasis. Retirar flores marchitas para evitar bacterias y mantener frescura.
Cerámica Volcano,Florero / Macetero decorativo,Sin categoría,Sí,Florero de cerámica,Cerámica tipo piedra volcánica,Gris oscuro,—,"S, M, L",,,Gris oscuro,Variable,,No apto para plantas vivas (sin drenaje). Ideal como florero decorativo.
Difunto una cara Malva,Arreglo floral funerario (una cara),Ceremoniales,No,Base tipo bandeja / espuma floral,Espuma húmeda,"Malva, rosado, verde",Flores mixtas de temporada,,45 × 20 cm,,"Malva, rosado, verde",$65.000,$65.000,Las flores pueden variar según temporada. Composición respetará el colorido original.
Ampolla uniflor,Florero decorativo,Floreros en Decoración,Sí,Ampolla tipo botella,Vidrio,Transparente,—,,15 × 7 cm,,Transparente,$8.000,$8.000,Florero de vidrio decorativo. No incluye flores. Ideal para espacios pequeños o para usar en conjunto como centros de mesa.
Color Moon,Arreglo floral,Flores recién cortadas en Regalos,Sí,Florero de vidrio o metal,Metal / vidrio (base alta),Multicolor (tonos cálidos y fríos),Flores mixtas (de temporada),,60 × 60 cm,,Multicolor,$148.000,$148.000,"Mantener el OASIS siempre húmedo. No regar por encima. Retirar flores marchitas. Las flores pueden variar según la temporada, respetando el colorido."
Velvet,Arreglo floral en florero,Flores en Plantas,Sí,Florero de vidrio,Vidrio,Rojo,"Rosas rojas, follaje verde",,60 × 70 cm,,Rojo,$150.000,$150.000,Mantener el OASIS siempre húmedo. No rociar las flores por encima; regar directamente al OASIS. Retirar las flores marchitas para evitar bacterias. Mantener en lugar fresco y sin sol directo.
Prêt à porter ROSAS,Mini bouquet / ramo de flores frescas,Rosas en Flores recién cortadas,No,Envoltorio decorativo,Papel floral,Blanco,"7 rosas blancas, rusco, envoltorio",,,,Blanco,$25.000,$25.000,"Mantener en agua limpia, cambiar cada dos días. Evitar sol directo y fuentes de calor."
Prêt à porter ALOE,Mini bouquet / ramo de flores frescas,Flores recién cortadas en Regalos,No,Envoltorio decorativo,Papel floral,"Verde, blanco","Flores mixtas (con tonos claros, tipo aloe)",,,,"Verde, blanco",$35.000,$35.000,"Mantener en agua fresca, cambiar cada dos días. Evitar sol directo y fuentes de calor."
Prêt à porter BIGARO,Mini bouquet / ramo de flores frescas,Flores recién cortadas en Regalos,No,Envoltorio decorativo,Papel floral,"Fucsia, violeta, verde",Flores mixtas de temporada,,,,"Fucsia, violeta, verde",$35.000,$35.000,"Mantener en agua fresca, cambiar cada dos días. Evitar sol directo y fuentes de calor."
Prêt à porter PEONIAS,Bouquet de peonías,Flores en Plantas,No,Envoltorio decorativo,Papel floral,"Burdeo, Fucsia, Sara, Roja, Rosa, Blanca",Peonías (según color de variante),"5 unidades, 10 unidades",,,"Burdeo, Fucsia, Sara, Roja, Rosa, Blanca","5 unidades — $18.000, 10 unidades — $32.000",,"Mantener en agua limpia, cortar tallos diagonalmente cada dos días. Evitar sol directo y calor."
Amaryllis en Matero,Bulbo en floración,Bulbos de plantas y flores en Semillas,Sí,Matero de vidrio,Vidrio,"Blanco, rojo",Amaryllis,,,,"Blanco, Rojo","Blanco — $25.000, Rojo — $25.000",$25.000,"Tras floración, trasplantar a maceta con drenaje. Mantener en lugares frescos, sin luz directa ni fuentes de calor."
Burgandy,Arreglo floral en florero,Flores recién cortadas en Regalos,Sí,Florero de vidrio,Vidrio,"Rosa, burdeos, verde",Flores mixtas de temporada,,35 × 35 cm,,"Rosa, burdeos, verde",$68.000,$68.000,Mantener siempre con agua hasta la mitad del florero. Evitar sol directo y calor. Retirar flores marchitas para evitar bacterias.
Rodón Colores,Arreglo floral 360°,Flores recién cortadas en Regalos,Sí,Florero redondo (vidrio o cerámica),Vidrio,Multicolor,Flores mixtas de temporada,"S, M, L","S: 42 × 42 cm, M: 50 × 50 cm, L: 60 × 60 cm",360°,Multicolor,"S — $90.000, M — $125.000, L — $150.000",,"Mantener OASIS húmedo, regar directamente sin mojar flores. Retirar flores marchitas. Mantener en lugar fresco."
Alto Rama,Arreglo floral alto,Flores en Plantas,Sí,Florero alto de vidrio,Vidrio,Blanco y verde,Flores mixtas altas de temporada,,90 × 60 cm,,Blanco y verde,$110.000,$110.000,"Mantener en lugar fresco, revisar agua cada 2 días. Evitar calor y luz directa. Mantener el florero siempre con agua hasta la mitad."
Limona,Arreglo floral en florero,Flores recién cortadas en Regalos,Sí,Florero de vidrio,Vidrio,"Amarillo, blanco, verde",Flores mixtas de temporada,"S, M, L","S: 35×35 cm, M: 45×45 cm, L: 55×55 cm",,"Amarillo, blanco, verde","Chico — $66.000, Mediano — $87.000, Grande — $112.000",,Mantener con agua hasta la mitad del florero. Evitar sol directo o calor. Retirar flores marchitas para evitar bacterias.
Paila Candy,Arreglo floral en base tipo paila,Flores recién cortadas en Regalos,Sí,Paila decorativa redonda,Metal o cerámica,"Rosado, fucsia, verde","Flores mixtas (rosas, hortensias, lisianthus)","S, M, L","S: 35×40 cm, M: 40×50 cm, L: 45×55 cm",,"Rosado, fucsia, verde","S — $95.000, M — $110.000, L — $140.000",,"Mantener OASIS húmedo, regar directamente sin mojar flores. Evitar sol directo y calor."
Rodón Rosas Blancas,Arreglo floral redondo,Flores en Plantas,Sí,Florero redondo,Vidrio,"Blanco, verde",Rosas blancas,,42×42 cm,,"Blanco, verde",$87.000,$87.000,"Mantener fresco, sin sol directo, bien hidratado. Revisar OASIS y mantenerlo húmedo."
Matero Full Rosas,Arreglo floral con rosas,Rosas en Flores recién cortadas,Sí,Matero de vidrio,Vidrio,A elección (variedad de rosas),Rosas,,35×35 cm,,Variable,$75.000,$75.000,Mantener agua hasta la mitad del florero. Rellenar sin mojar las flores directamente. Evitar sol y calor.
