Nombre del producto,Tipo de producto,Categoría,Florero,Contenedor,Material del contenedor,Colores,Insumos,Variantes_Tamaños,Dimensiones_Tamaños,Variantes_Ruedo,Variantes_Colores,Precio,precio_base,Cuidados
Anémonas Samaritano,Arreglo floral en florero,Flores en Plantas,Sí,Florero redondo de vidrio,Vidrio,"Fucsia, violeta, verde",Anémonas frescas,,40×30 cm,,"Fucsia, violeta, verde",$70.000,$70.000,"Cambiar el agua seguido, cortar tallos diagonalmente. Evitar sol directo y calefacción. Sacarlas por la noche para prolongar duración."
Boîte,Arreglo floral rectangular,Flores en Plantas,Sí,Caja o bandeja rectangular,Madera o cerámica,"Rosado, fucsia, verde",Flores mixtas,,70×30 cm,,"Rosado, fucsia, verde",$97.000,$97.000,Mantener OASIS húmedo. No regar directamente sobre las flores. Retirar flores marchitas.
Matero en Verdes,Arreglo floral en tonos verdes,Flores en Plantas,Sí,Florero de vidrio,Vidrio,"Verde, blanco",Flores mixtas (verdes y follaje),,50×50 cm,,"Verde, blanco",$120.000,$120.000,Mantener OASIS húmedo y evitar sol directo.
Bandeja de Rosas,Arreglo floral bajo con rosas,Flores en Plantas,Sí,Bandeja rectangular,Madera / cerámica,A elección (rosas),Rosas frescas,,18×30×30 cm,,Variable,$83.000,$83.000,Mantener OASIS húmedo. No mojar las flores directamente. Mantener en lugar fresco.
Frutera en Blancos,Arreglo floral en florero,Flores recién cortadas en Regalos,Sí,Florero tipo frutera,Vidrio,"Blanco, verde","Flores mixtas (rosas, hortensias, lisianthus)",,40×50 cm,,"Blanco, verde",$89.000,$89.000,Mantener con agua hasta la mitad. Evitar sol y calor. Retirar flores marchitas.
Veneciano,Arreglo floral con rosas,Rosas en Flores recién cortadas,Sí,Florero cuadrado,Vidrio,"Rosa, verde",Rosas,,40×40 cm,,"Rosa, verde",$75.000,$75.000,Mantener agua hasta la mitad del florero. Rellenar sin mojar flores. Evitar sol y calor.
White Night,Arreglo floral alto,Flores recién cortadas en Regalos,Sí,Florero de vidrio alto,Vidrio,Blanco y verde,"Flores mixtas altas (lilium, gladiolos, rosas blancas)",,100 × 70 cm,Completo 360° / Medio 180°,Blanco y verde,"Completo 360° — $180.000, Medio 180° — $110.000",,Mantener lejos de fuentes de calor o luz directa. Cambiar el agua seguido y cortar los tallos ligeramente. Retirar flores marchitas para prolongar la frescura.
Bola Colorida,Arreglo floral redondo,Flores en Plantas,Sí,Florero cilíndrico de vidrio,Vidrio,"Multicolor (rojos, fucsias, verdes)",Flores mixtas de temporada,,80 × 65 cm,,Multicolor,$152.000,$152.000,"El arreglo está hecho en base de OASIS, mantenerlo húmedo regando directamente sobre la espuma. No exponer al sol ni a calor. Ideal sacarlo por la noche a lugar fresco."
Blue Moon,Arreglo floral 360°,Flores recién cortadas en Regalos,Sí,Florero de vidrio,Vidrio,"Azul, blanco, violeta","Flores mixtas (rosas, lisianthus, hortensias)",,60 × 60 cm,360°,"Azul, blanco, violeta",$148.000,$148.000,"Mantener OASIS húmedo, regar directamente. Evitar sol directo. Retirar flores marchitas para evitar bacterias."
Hielera XXL,Arreglo floral grande,Flores en Plantas,Sí,Hielera decorativa,Vidrio o cerámica,"Naranjo, amarillo, verde",Flores mixtas de gran tamaño,,80 × 95 cm,Medio ruedo 180° / Ruedo completo 360°,"Naranjo, amarillo, verde","Medio ruedo 180° — $220.000, Ruedo completo 360° — $280.000",,Mantener OASIS húmedo. No exponer al sol o calor. Ideal sacarlo por la noche a un lugar fresco.
Caja 4,Arreglo floral en caja pequeña,Flores recién cortadas en Regalos,Sí,Caja cuadrada de madera,Madera,Tonos fuertes variados,Flores mixtas,,20 × 25 × 25 cm,,Tonos fuertes variados,$73.000,$73.000,Cambiar agua del florero seguido. Cortar tallos al renovarla. Evitar calefacción y sol directo.
Caja 6,Arreglo floral rectangular,Flores en Plantas,Sí,Caja rectangular de madera,Madera,Tonos fuertes variados,Flores mixtas de temporada,,25 × 40 × 15 cm,,Tonos fuertes variados,$94.000,$94.000,Cambiar agua del florero seguido. Cortar tallos al renovarla. Evitar calefacción y sol directo.
Cerámica Calypso,Florero decorativo,Floreros en Decoración,Sí,Florero tipo ánfora,Cerámica esmaltada,Turquesa,—,,,,Turquesa,$25.600,$25.600,"Decorativo, puede usarse como contenedor para flores frescas o secas."
Ánfora S,Florero decorativo,Floreros en Decoración,Sí,Ánfora pequeña,Cerámica o cemento,Gris envejecido,—,,23 cm alto × 31 cm diámetro,,Gris envejecido,$82.000,$82.000,"Decorativo, sin drenaje."
Ánfora L,Florero decorativo grande,Floreros en Decoración,Sí,Ánfora alta,Cerámica o cemento,Gris envejecido,—,,60 cm alto × 46 cm diámetro,,Gris envejecido,$320.000,$320.000,"Decorativo, sin drenaje."
Florero Alambre,Florero decorativo,Floreros en Decoración,Sí,Vidrio cónico con estructura metálica,Vidrio y alambre,"Transparente, metal plateado",—,"S, M","S: 28 cm alto, M: 40 cm alto",,Transparente,"S — $32.800, M — $68.500",,"Florero decorativo, se recomienda secar bien tras uso. No apto para exterior."
Frutera Alambre 1,Frutera decorativa,Bowls decorativos en Decoración,No,Frutera metálica,Alambre metálico dorado,Dorado,—,,Mediano (aprox. 35 cm ancho),,Dorado,$88.000,$88.000,Limpiar con paño seco. No apta para agua o alimentos húmedos.
Frutera Alambre 2,Frutera decorativa,Bowls decorativos en Decoración,No,Canasto decorativo,Alambre metálico dorado,Dorado claro,—,,Pequeño (aprox. 25 cm diámetro),,Dorado claro,$42.800,$42.800,"Decorativa, no apta para líquidos."
Bola Pájaro,Escultura decorativa,Floreros en Decoración,No,Esfera con base,Cerámica envejecida o cemento,Gris claro,—,,Mediano (aprox. 30 cm alto),,Gris claro,$63.000,$63.000,"Decorativa, limpiar con paño seco."
OST,Florero de vidrio rectangular,Floreros en Decoración,Sí,Vidrio rectangular con orificio,Vidrio transparente,Transparente,—,"S, M, L","S: 25×20×6 cm, M: 30×20×6 cm, L: 40×20×6 cm",,Transparente,"S — $76.500, M — $88.500, L — $95.500",,"Lavar con agua tibia, secar con paño. Ideal para flor única o arreglos lineales."
Corona Metálica Hoja,Adorno metálico,Coronas y guirnaldas en Decoración,No,Base metálica,Metal envejecido,Gris oscuro,—,,Mediano (aprox. 45 cm alto),,Gris oscuro,$120.000,$120.000,"Decorativo, limpiar con paño seco. No exponer al agua."
Candelabro Negro,Candelabro decorativo,Candelabros en Accesorios de fragancias para el hogar,No,Pie con brazos múltiples,Metal negro envejecido,Negro grafito,—,,Mediano (aprox. 35 cm alto),,Negro grafito,$78.000,$78.000,Limpiar con paño seco. No usar en exterior o con cera caliente directa sobre la base.
Candelabro Antique,Candelabro decorativo,Candelabros en Accesorios de fragancias para el hogar,No,Candelabro individual,Metal dorado envejecido,Dorado antiguo,—,,Mediano (aprox. 30 cm alto),,Dorado antiguo,$48.000,$48.000,"Decorativo, limpiar con paño seco. No usar con velas sin base de protección."
Cerámica Rectangular Baja,Contenedor decorativo / florero bajo,Bowls decorativos en Decoración,Sí,Recipiente rectangular bajo,Cerámica esmaltada,"Amarillo, Calipso, Blanco",—,,Mediano (aprox. 30×12 cm),,"Amarillo, Calipso, Blanco","Amarillo — $29.000, Calipso — $29.000, Blanco — $29.000",$29.000,"Ideal para flores o como base decorativa. Lavar a mano, no usar lavavajillas."
Frutera Colorida,Arreglo floral,Flores en Plantas,Sí,Florero tipo frutera de vidrio verde,Vidrio,"Multicolor (rosado, violeta, verde, amarillo)",Flores mixtas de temporada,,50 × 60 cm,Medio ruedo 180° / Ruedo completo 360°,Multicolor,"Medio ruedo 180° — $123.400, Ruedo completo 360° — $155.000",,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Heladera Line,Arreglo floral redondo,Flores recién cortadas en Regalos,Sí,Base tipo heladera (vidrio o cerámica),Vidrio,"Rosa, violeta, verde",Flores mixtas de temporada,,55 × 55 cm,Medio ruedo 180° / Ruedo completo 360°,"Rosa, violeta, verde","Medio ruedo 180° — $88.000, Ruedo completo 360° — $120.000",,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
MEI Verde,Arreglo floral,Flores en Plantas,Sí,Bowl blanco de cerámica,Cerámica,"Verde, blanco","Flores mixtas verdes (hortensias, follaje)",,30 × 45 cm,,"Verde, blanco",$80.000,$80.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Vaso Peonías,Arreglo floral con peonías,Flores en Plantas,Sí,Vaso de vidrio,Vidrio,"Rosa, verde",Peonías frescas,50 × 40 cm,,,"Rosa, verde",$68.000,,
Pater Colorido,Arreglo floral en florero,Flores recién cortadas en Regalos,Sí,Florero redondo de vidrio,Vidrio,"Multicolor (rosado, naranja, violeta, verde)",Flores mixtas de temporada,"S, M, L","S: 30×40 cm, M: 40×45 cm, L: 50×55 cm",,Multicolor,"S — $72.400, M — $93.300, L — $115.000",,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
La Violeta,Arreglo floral en florero,Flores en Plantas,Sí,Florero metálico gris,Metal o cerámica,"Violeta, verde",Flores mixtas (violetas y lilas),,45 × 35 cm,,"Violeta, verde",$68.000,$68.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Bridal,Arreglo floral,Flores recién cortadas en Regalos,Sí,Florero metálico gris,Metal,"Blanco, verde","Flores mixtas blancas (rosas, lisianthus, hortensias)",,45 × 35 cm,,"Blanco, verde",$65.000,$65.000,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Tête à Tête,Arreglo con bulbos (no corte),Bulbos de plantas y flores en Semillas,Sí,Florero de vidrio bajo,Vidrio,"Amarillo, verde",Narcisos Tête à Tête (5 bulbos aprox.),,40 × 20 cm,,"Amarillo, verde",$44.000,$44.000,"Estos arreglos NO son hechos con flores de corte, sino que con bulbos, los cuales pasados su floración puedes trasplantarlos a tierra y así florecer cada año si quedan en un lugar óptimo para su desarrollo. Esta especie se llama tête à tête, es un narciso de trompeta amarilla y pequeña, en donde una papa provee varios botones. En este arreglo vienen 5 bulbos aprox."
Narcisos en Boina,Arreglo de bulbos (narciso Yellow Paradise),Bulbos de plantas y flores en Semillas,Sí,Base tipo boina baja,Vidrio o cerámica,Amarillo/naranja,Narciso Yellow Paradise,,45 x 30 cm,,Amarillo/naranja,$80.000,$80.000,"Estos arreglos NO son hechos con flores de corte, sino que con bulbos, los cuales pasados su floración debes trasplantarlos a tierra y así podrán florecer cada año si quedan en un lugar óptimo para su desarrollo. Para su mejor duración debes mantenerlos en lugares frescos -nunca con luz directa o cerca de una fuente de calor- y el riego depende de la humedad de la tierra. Esta especie se llama Yellow Paradise, es un narciso de trompeta grande (6 cms aprox)."
Bouquet en Lilas,Bouquet/Ramo,Flores en Plantas / Flores recién cortadas en Regalos,No,Sin florero (ramo),Papel / amarra de hilo,Lilas/morado/rosado,"Flores mixtas (lisianthus, lilas, follaje)",,,,Lilas/morado/rosado,$65.000,$65.000,"Las flores pueden variar según la temporada, se mantiene el colorido. Muchas personas creen que hay que quitarles la amarra para ponerlos en agua, pero ¡no! La gracia del bouquet es su forma redonda y apretada, y para llegar a ella una persona se puede demorar hasta 1 hora. Para una mejor durabilidad hay que dejarlas lejos de sol directo o cualquier fuente de calor directa (por ejemplo radiadores), cambia el agua cada dos días y cada vez que lo hagas ve de cortarle un poco los tallos para que las flores puedan succionar mejor el agua."
Bouquet Passion,Bouquet/Ramo de rosas,Flores en Plantas / Rosas en Flores recién cortadas,No,Sin florero (ramo),Papel,Rojo,50 rosas rojas,,,,Rojo,$148.000,$148.000,"Muchas personas creen que hay que quitarles la amarra para ponerlos en agua, pero ¡no! La gracia del bouquet es su forma redonda y apretada, y para llegar a ella una persona se puede demorar hasta 1 hora. Para una mejor durabilidad hay que dejarlas lejos de sol directo o cualquier fuente de calor directa (por ejemplo radiadores), cambia el agua cada dos días y cada vez que lo hagas ve de cortarle un poco los tallos para que las flores puedan succionar mejor el agua."
Bouquet Colores,Bouquet/Ramo,Flores en Plantas / Flores recién cortadas en Regalos,No,Sin florero (ramo),Papel / hilo,Multicolor,Flores mixtas de temporada,,,,Multicolor,$60.000,$60.000,"Las flores pueden variar, se mantiene colorido. Muchas personas creen que hay que quitarles la amarra para ponerlos en agua, pero ¡no! La gracia del bouquet es su forma redonda y apretada, y para llegar a ella una persona se puede demorar hasta 1 hora. Para una mejor durabilidad hay que dejarlas lejos de sol directo o cualquier fuente de calor directa (por ejemplo radiadores), cambia el agua cada dos días y cada vez que lo hagas ve de cortarle un poco los tallos para que las flores puedan succionar mejor el agua."
Florero Aura,Florero decorativo minimalista,Floreros en Decoración,Sí,Tubo cilíndrico de doble pared,Vidrio,Transparente,—,,"25 × 7,5 cm",,Transparente,$32.000,$32.000,"Florero de diseño minimalista, tiene una estructura de doble pared hecho en vidrio. Perfecto para dar un toque de luz y color a cualquier rincón. No es necesario ponerle demasiadas flores, ya con sólo una vara se ve espectacular. Mide 25 × 7,5 cms. No incluye flores."
Florero para Muro Grande,Florero decorativo mural,Floreros en Decoración,Sí,Cono de vidrio con soporte metálico,Vidrio y estructura metálica negra,Transparente con soporte negro,—,,"Cono: 30×12 cm, Total: 30×16 cm",,Transparente,$34.000,$34.000,"Diseñado para instalar al muro sin ocupar espacio en superficies. El soporte metálico negro se fija fácilmente a la pared mediante dos tornillos (incluidos + tarugos), asegurando una instalación firme y segura. El florero se apoya sobre un aro metálico que lo mantiene en posición, permitiendo retirarlo con facilidad para limpiar o cambiar el contenido. Medidas cono de vidrio: 30 × 12 cms / Medidas total: 30 × 16 cms."
Florero para Muro Chico,Florero decorativo mural,Floreros en Decoración,Sí,Cono de vidrio con soporte metálico,Vidrio y estructura metálica negra,Transparente con soporte negro,—,,"Cono: 22×8 cm, Total: 22×12 cm",,Transparente,$28.000,$28.000,"Diseñado para instalar al muro sin ocupar espacio en superficies. El soporte metálico negro se fija fácilmente a la pared mediante dos tornillos (incluidos + tarugos), asegurando una instalación firme y segura. El florero se apoya sobre un aro metálico que lo mantiene en posición, permitiendo retirarlo con facilidad para limpiar o cambiar el contenido. Medidas cono de vidrio: 22 × 8 cms / Medidas total: 22 × 12 cms."
Royal Bloom,Arreglo floral,Flores recién cortadas en Regalos,Sí,Florero de vidrio,Vidrio,Blanco,Lilium,,90 x 60 cm,,Blanco,$60.000,$60.000,"Simple y elegante, con este arreglo te vas a la segura. El lilium es una flor que podríamos decir tiene muy buena duración, siempre les viene bien sacarlas por la noche para tomar aire fresco. Fíjate de tenerlas bien hidratas, no necesariamente debes llenar el florero con agua pero que sus tallos siempre estén en contacto con el agua."
Pink Bloom,Arreglo floral,Flores recién cortadas en Regalos,Sí,Florero de vidrio,Vidrio,Rosa,Lilium,,90 x 60 cm,,Rosa,$60.000,$60.000,"Simple y elegante, con este arreglo te vas a la segura. El lilium es una flor que podríamos decir tiene muy buena duración, siempre les viene bien sacarlas por la noche para tomar aire fresco. Fíjate de tenerlas bien hidratas, no necesariamente debes llenar el florero con agua pero que sus tallos siempre estén en contacto con el agua."
Dalias,Arreglo floral,Flores recién cortadas en Regalos,Sí,Florero de vidrio,Vidrio,Rosa,Dalias,,70 x 45 cm aprox,,Rosa,$70.000,$70.000,"Siempre es bueno sacarlas por la noche para que se refresquen y duren más debido a las calefacciones de las casas. Nunca poner el arreglo bajo el sol, cambia el agua del florero seguido y cada vez que lo hagas aprovecha de cortar un poco el tallo para asegurarte de que succionen de manera eficiente."
Paradiso,Arreglo floral,Flores en Plantas,Sí,Contenedor,Vidrio o cerámica,Multicolor,Flores mixtas de temporada,,35 x 35 cm,,Multicolor,$63.000,$63.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Copón,Arreglo floral,Flores en Plantas,Sí,Copón,Vidrio o cerámica,Multicolor,Flores mixtas de temporada,,70 x 70 cm,,Multicolor,$180.000,$180.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Personalización,Arreglo personalizado,Flores en Plantas,Sí,A elección,Variable,A elección,Flores personalizadas según pedido,Variable,,,A elección,Variable,,Los cuidados dependerán del tipo de contenedor y flores elegidas.
Velón 20 Rosas,Arreglo en velón,Flores en Plantas,Sí,Velón de vidrio,Vidrio,"Amarillo, Verde, Rosado","20 rosas, hortensias, hipérico",Ninguna,,,"Amarillo, Verde, Rosado",$140.000,,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte."
Paila Redondo Colorido,Arreglo en paila,Flores en Plantas,Sí,Paila decorativa,Cerámica,"Verde, Azul, Fucsia, Rosado, Amarillo, Rojo",Flores mixtas con peonías,Ninguna,,,"Verde, Azul, Fucsia, Rosado, Amarillo, Rojo",$45.000,,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte."
Paila Redondo Primaveral,Arreglo en paila,Flores en Plantas,Sí,Paila decorativa,Cerámica,"Verde, Azul, Fucsia, Rosado, Amarillo, Rojo",Flores mixtas,Ninguna,,,"Verde, Azul, Fucsia, Rosado, Amarillo, Rojo",$50.000,,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte."
Centro de Mesa Vidrio 30x50,Centro de mesa en vidrio,Flores en Plantas,Sí,Florero de vidrio horizontal,Vidrio,,Flores mixtas,30 × 50 cm,,,,$50.000,,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte."
Jardinera 90 cm,Jardinera con flores,Flores en Plantas,Sí,Jardinera,Madera o cerámica,,Flores mixtas,90 cm,,,,$140.000,,"Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte."
Brisero,Arreglo floral alto,Flores en Plantas,Sí,Florero verde alto,Vidrio,Variable,Flores mixtas de temporada,"S, M, L","S: 25 cm alto, M: 50 cm alto, L: 65 cm alto",,Variable,Variable,,Mantener agua limpia. Cambiar cada 2-3 días.
Narcisos,Arreglo de Narcisos,Flores en Plantas,Variable,"Variable (Boina, Florero, Plafon)",Variable,"Amarillo, blanco",Narcisos,,,,"Amarillo, blanco",Variable,,Mantener agua limpia. Los narcisos son flores de temporada.
Orquídeas,Arreglo de Orquídeas,Flores en Plantas,Variable,"Variable (Cubo, Brisero, Vidrio, Boina)",Variable,"Blanco, fucsia, multicolor",Orquídeas,,,,"Blanco, fucsia, naranja, multicolor",Variable,,Riego moderado. Evitar sol directo. Mantener húmedo pero no encharcado.
Vaso Peonias,Arreglo floral con peonías,Flores en Plantas,Sí,Vaso de vidrio,Vidrio,"Rosa, verde",Peonías frescas,,50 × 40 cm,,"Rosa, verde",$68.000,$68.000,"Las peonias son una flor muy poco resistente al calor y sus días de vida avanzan a pasos agigantados, así es que para alargar su vida siempre dejarlas en lugares híper frescos. Además beben mucha agua por sus pétalos finos, lo que hace que el agua se consuma rápido."
Tulipanes Milán x20,Ramo de tulipanes (20 varas),Decoración en Casa y jardín,No,Sin florero,—,"Naranjo, Rosado, Rojo",20 tulipanes,,,,"Naranjo, Rosado, Rojo",Todas — $48.000,$48.000,"Los tulipanes son flores que curiosamente aún después de ser cortadas siguen creciendo. Así es, su tallo se continúa desarrollando post corte, por lo que probablemente tu arreglo irá cambiando de forma. A nosotras nos gusta ese cambio, pero si ese no fuera tu caso, siempre puedes cortarles un poco su tallo y aprovechar de cambiarles el agua. ¡Ojo que son muy sedientas! Mantenlas siempre hidratadas, no las dejes en lugares calurosos y evita la luz directa del sol. Consulta las opciones de colores disponibles."
Tulipanes Milán x30,Ramo de tulipanes (30 varas),Rellenos de jarrones en Rellenos para jarrones y decoraciones para mesas,No,Sin florero,—,"Naranjo, Morado, Rosado",30 tulipanes,,,,"Naranjo, Morado, Rosado",Todas — $65.000,$65.000,"Los tulipanes son flores que curiosamente aún después de ser cortadas siguen creciendo. Así es, su tallo se continúa desarrollando post corte, por lo que probablemente tu arreglo irá cambiando de forma. A nosotras nos gusta ese cambio, pero si ese no fuera tu caso, siempre puedes cortarles un poco su tallo y aprovechar de cambiarles el agua. ¡Ojo que son muy sedientas! Mantenlas siempre hidratadas, no las dejes en lugares calurosos y evita la luz directa del sol. Consulta las opciones de colores disponibles."
Citrus Moon,Arreglo floral,Flores recién cortadas en Regalos,Sí,Contenedor de vidrio,Vidrio,Verde/amarillo verdoso,Flores mixtas de temporada,,60 x 60 cm,,Verde/amarillo verdoso,$148.000,$148.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Matero Glasto,Arreglo floral,Flores en Plantas,Sí,Matero/contenedor,Vidrio o cerámica,Morado/violeta con verdes,Flores mixtas de temporada,,40 x 40 cm,,Morado/violeta con verdes,$87.000,$87.000,"Las flores pueden variar debido a las temporadas, se mantiene siempre el colorido. Para que tu arreglo tenga una vida útil más larga te recomendamos sacarlo por las noches a un lugar frío, porque en general el calor y la falta de agua son el gran enemigo de las flores de corte. Para este último punto, debes checkear con tu dedo que el OASIS (material en donde se acomodan las flores) esté siempre mojado. Ahora, ¿cómo hidratarlas? Nunca debes 'regar' las flores por encima, sino que hacer un espacio para que el agua -con tu regadera o botella- llegue directamente al OASIS. Retirar las flores que estén moribundas, así evitas la acumulación de bacterias y las que quedan se verán más frescas."
Amaryllis en Brisero — Rojo,Planta de bulbo (Amaryllis),Bulbos de plantas y flores en Semillas / Plantas de interior en macetas,Sí,Brisero/brasero,Cerámica o metal,Rojo,Amaryllis,,50 x 15 cm,,Rojo,$38.000,$38.000,Pasada su floración debes trasplantarlos a tierra o a un macetero con drenaje (con un hoyo) y así podrán florecer cada año si quedan en un lugar óptimo para su desarrollo. Para su mejor duración debes mantenerlos en lugares frescos -nunca con luz directa o cerca de una fuente de calor- y el riego depende de la humedad de la tierra. ¡Disfruta del espectáculo!
